,precision,recall,f1-score,support
"Chinese, North Indian, Fast Food",0.0,0.0,0.0,1.0
"Chinese, North Indian, Fast Food, Italian",0.0,0.0,0.0,1.0
"Chinese, North Indian, Italian",0.0,0.0,0.0,1.0
"Chinese, North Indian, Mughlai",0.0,0.0,0.0,2.0
"Chinese, North Indian, Mughlai, Continental",0.0,0.0,0.0,1.0
"Chinese, North Indian, South Indian",0.0,0.0,0.0,1.0
"Chinese, Seafood",0.0,0.0,0.0,1.0
"Chinese, Seafood, Asian",0.0,0.0,0.0,1.0
"Chinese, Seafood, Japanese",0.0,0.0,0.0,1.0
"Chinese, South Indian",0.0,0.0,0.0,2.0
"Chinese, South Indian, Fast Food",0.0,0.0,0.0,1.0
"Chinese, South Indian, North Indian",0.0,0.0,0.0,1.0
"Chinese, Thai",0.25,0.1,0.14285714285714285,10.0
"Chinese, Thai, Asian",1.0,0.5,0.6666666666666666,2.0
"Chinese, Thai, Fast Food",0.0,0.0,0.0,1.0
"Chinese, Thai, Japanese",0.0,0.0,0.0,1.0
"Chinese, Thai, Seafood",0.0,0.0,0.0,1.0
"Chinese, Tibetan",0.0,0.0,0.0,1.0
Continental,0.0,0.0,0.0,4.0
"Continental, American",0.0,0.0,0.0,1.0
"Continental, American, Asian, North Indian",0.0,0.0,0.0,1.0
"Continental, American, Italian",0.0,0.0,0.0,1.0
"Continental, Chinese, North Indian",0.0,0.0,0.0,2.0
"Continental, European",0.0,0.0,0.0,0.0
"Continental, European, North Indian",0.0,0.0,0.0,0.0
"Continental, Fast Food",0.0,0.0,0.0,1.0
"Continental, Fast Food, Italian",0.0,0.0,0.0,0.0
"Continental, Goan, Seafood, North Indian",0.0,0.0,0.0,0.0
"Continental, Healthy Food",0.0,0.0,0.0,1.0
"Continental, Italian",0.0,0.0,0.0,3.0
"Continental, Italian, North Indian",0.0,0.0,0.0,1.0
"Continental, North Indian",0.0,0.0,0.0,3.0
"Continental, North Indian, Asian",0.0,0.0,0.0,1.0
"Continental, North Indian, Chinese",0.0,0.0,0.0,2.0
"Continental, North Indian, Italian",0.0,0.0,0.0,1.0
"Continental, North Indian, Mughlai, Burmese",0.0,0.0,0.0,0.0
Desserts,0.14285714285714285,0.09090909090909091,0.1111111111111111,11.0
"Desserts, Bakery",0.0,0.0,0.0,2.0
"Desserts, Bakery, Fast Food",0.0,0.0,0.0,1.0
